# U/t	mu/t	nA	nB	(nA+nB)/2	ms=abs(szA-szB)/2.0	mf=abs(szA+szB)/2.0
0.4 0.1 0.424169 1.57568 0.9999245 0.00014305755 0.00010588645
0.8 0.2 0.45761 1.54226 0.999935 5.804245e-05 0.00014599155
1.4 0.35 0.510552 1.4895 1.000026 6.9053e-05 4.4034e-05
1.8 0.45 0.54709 1.45217 0.99963 0.00012218425 5.131875e-05
2.2 0.55 0.584351 1.41555 0.9999505 0.0002070353 0.0001722397
2.6 0.65 0.621574 1.37862 1.000097 0.000245005 3.7313e-05
3.0 0.75 0.658443 1.34141 0.9999265 6.233085e-05 8.291215e-05
4.0 1.0 0.745538 1.25438 0.999959 4.34196e-05 5.61818e-05
5.0 1.25 0.817637 1.18242 1.0000285 0.0006713885 7.49245e-05
6.0 1.5 0.869382 1.1304 0.999891 1.4235e-05 0.001065225
7.0 1.75 0.906294 1.09387 1.000082 0.0005344834 0.0006176066
8.0 2.0 0.933526 1.06645 0.999988 0.0011239675 0.0009109925
9.0 2.25 0.954723 1.04527 0.9999965 0.00214923135 0.00209022865
10.0 2.5 0.973515 1.02642 0.9999675 0.000584507 1.7515e-05
10.2 2.55 0.98343 1.01655 0.99999 0.0004218305 8.69565e-05
10.4 2.6 0.984645 1.01542 1.0000325 0.0001299035 0.0008570855
10.6 2.65 0.985553 1.01436 0.9999565 0.000726734 3.8865e-05
10.8 2.7 0.986513 1.01354 1.0000265 0.000193304 0.000817836
